sample,Control_115,Control_130,Control_132,Control_133,Control_136,Control_53,Control_61,Control_62,Control_64,Control_68,Control_69,Control_70,Control_71,Control_72,Control_73,CKD_105,CKD_106,CKD_108,CKD_110,CKD_112,CKD_124,CKD_125,CKD_126,CKD_128,CKD_129,CKD_63,CKD_65,CKD_96,CKD_98,CKD_99
class,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD
202.119/3.1,2617206.3,2567661.562,1995816.276,1327001.612,425116.9223,8168686.042,5054558.837,990964.5833,1821600.862,1540243.806,2507308.578,2833205.001,1484613.218,1354106.377,2935045.878,5259854.968,7803621.066,15958621.83,3109923.268,3020573.224,21266598.45,2554035.301,24422685.63,14557450.9,19660600.51,12098820.82,2517553.089,2061834.03,24745037.77,4080261.619
255.945/2.1,5767294.294,9259008.365,3258339.714,12100843.81,4376959.734,1488591.841,13903800.73,1887057.917,8708308.22,1860378.769,4440773.096,1695187.279,4139353.646,3699113.947,3203547.095,386839.4323,397046.5101,367211.7895,141207.9572,65087.35619,11177834.29,430011.2177,205998.5376,590522.3841,308693.64,181060.4518,1799426.121,301769.7896,145164.9826,104879.5221
186.019/2.1,2431040.315,7130703.685,2939568.513,10490102.26,5998549.386,2264230.703,6259263.391,1445191.656,3600442.33,815687.4508,3835728.806,2536120.464,3131238.202,1450915.922,5017345.244,373976.0597,491974.582,735519.8093,120266.9134,103427.359,7764633.971,1769211.043,1445368.664,915428.7662,1226312.592,504917.6467,901469.0977,241362.1134,144367.2828,278876.8066
281.113/6.5,2432229.656,1253560.495,1113541.564,8955950.752,1043105.749,17235471.72,4719812.495,3586890.534,1041848.771,1716089.839,1634114.143,1238161.285,2084181.863,1102121.764,2955943.124,15481688.27,11263450.73,13744858.78,7341771.5,19967998.44,4577327.807,3203348.058,36388268.16,4703477.471,9146153.819,17302232.42,2502248.056,4514909.363,20967846.03,27604713.42
319.179/9.9,49450.26244,237643.5117,10000,132612.4713,174771.5626,423035.6216,102785.1593,8057.619565,10000,14933.42249,6939.762073,10000,28075.3868,10000,129008.7428,2665017.076,1947245.925,163155.6629,1465328.901,1027068.253,1080474.412,820687.4942,6549701.355,1759252.29,1791368.283,1274243.577,508889.6425,1287940.667,92626.04001,974498.9477
104.03/2.1,2088555.065,3578072.859,1907208.888,4321055.477,1935348.341,1555733.481,6246958.009,2002485.152,2829300.722,1068867.679,2479038.789,984180.5455,2130133.147,1616640.388,1832495.832,478801.366,541736.6391,512717.7992,380095.5205,234637.2941,5217400.15,501721.3838,540036.5518,649079.9157,683988.8258,376269.8016,1362002.887,371861.125,481005.1084,374177.3132
216.02/3.1,10000,2506429.797,854276.0106,3439136.003,983277.4499,745763.3843,3505570.595,3129900.61,1003696.83,489325.5088,3319882.957,396866.6941,2604901.075,1545477.595,537558.4934,10000,600083.1757,163064.6531,41142.07222,98163.10945,2083918.956,34210.19271,413627.4004,516564.8143,781353.2894,914052.5844,565902.15,10000,10000,440310.7158
437.973/3.1,31607.06352,845334.4797,1750275.087,4788019.747,1379810.509,217049.9948,1341942.26,235882.9014,1647441.926,1073331.963,1368656.988,791434.9576,1200613.562,963901.8457,833776.2909,10000,79880.96903,39131.35401,12487.94028,46177.57881,1178895.803,182400.2815,124491.6315,124547.2902,294656.5615,348743.2985,227607.466,10000,10000,73229.5066
284.107/3.8,274541.1711,505397.3474,250691.9527,631235.9285,206617.6844,1018176.398,713221.2538,357860.6869,45816.70774,570384.1104,761375.4648,142599.6452,477447.5006,10000,259421.8736,1557978.683,1820888.023,511869.0233,303687.9639,659075.5348,590301.0373,437908.7741,509516.1009,1420620.667,1796806.963,486622.1388,576306.9825,966485.4542,1482509.947,980784.4472
261.656/10.5,91490.18036,47066.20421,10000,10000,10000,59417.93258,6753.134383,10000,10000,10000,6032.359336,10000,10000,10000,10000,2844997.837,1267259.665,1070637.95,804632.3594,5334479.846,1992164.381,230400.8212,10943595.76,2161562.448,2953673.216,2281128.88,870694.5929,2470200.76,88962.36217,2172744.953
